metric,value
note,"WLS-DTI is used as a reference, not as training supervision."
subject_id,130316
model,SpatialDTIParamFieldWithQ
hash_backend,torch
device,cuda
batch_size_used,4096
epochs_run,87
final_train_MSE,0.00019817961700696862
best_val_MSE,0.00021059735008748247
comparison_slice_z,59
FA_MAE,0.021037487912935828
FA_RMSE,0.0751385119013915
MD_MAE,1.9290422391823937e-05
MD_RMSE,0.00010169900553339178
AD_MAE,2.8174788474896815e-05
AD_RMSE,0.00011737064433776265
RD_MAE,1.8356843660594363e-05
RD_RMSE,9.74866480519161e-05
V1_angular_error,6.105104448775591
V1_angular_error_median,2.14473049492161
Signal_MSE,0.0001980075176106766
Signal_MAE,0.010827253572642803
PSNR,26.911931645408664
