metric,value
note,"WLS-DTI is used as a reference, not as training supervision."
subject_id,124422
model,SpatialDTIParamFieldWithQ
hash_backend,torch
device,cuda
batch_size_used,512
epochs_run,40
final_train_MSE,0.00011837616127462693
best_val_MSE,0.00011899222382116359
comparison_slice_z,57
FA_MAE,0.01931133363726908
FA_RMSE,0.07251745803915535
MD_MAE,2.19521608987067e-05
MD_RMSE,9.54916892267852e-05
AD_MAE,2.8635889355459116e-05
AD_RMSE,0.00010274757690994179
RD_MAE,2.091489079384729e-05
RD_RMSE,9.465390388265576e-05
V1_angular_error,5.588008797830342
V1_angular_error_median,2.3862022933736573
Signal_MSE,0.0001188088208436966
Signal_MAE,0.008439337834715843
PSNR,27.695921856610532
