metric,value
note,"WLS-DTI is used as a reference, not as training supervision."
subject_id,130316
model,SpatialDTIParamFieldWithQ
hash_backend,torch
device,cuda
batch_size_used,512
epochs_run,42
final_train_MSE,0.00019638041111573102
best_val_MSE,0.00019902030766530374
comparison_slice_z,59
FA_MAE,0.018375845823035933
FA_RMSE,0.06687829564014575
MD_MAE,1.4629388043876274e-05
MD_RMSE,9.722837443555575e-05
AD_MAE,2.265593873773756e-05
AD_RMSE,0.00010755241561614685
RD_MAE,1.4788818177933735e-05
RD_RMSE,9.461279114661256e-05
V1_angular_error,5.859788936288569
V1_angular_error_median,2.468745656756541
Signal_MSE,0.00019721653370652348
Signal_MAE,0.010806803591549397
PSNR,26.929315223273015
