metric,value
note,"WLS-DTI is used as a reference, not as training supervision."
subject_id,124422
model,SpatialDTIParamFieldWithQ
hash_backend,torch
device,cuda
batch_size_used,4096
epochs_run,79
final_train_MSE,0.00011990181483496096
best_val_MSE,0.0001257914409507066
comparison_slice_z,57
FA_MAE,0.023476033401968115
FA_RMSE,0.07803422067612915
MD_MAE,3.072421542413904e-05
MD_RMSE,0.00010573740698145369
AD_MAE,3.759295416796846e-05
AD_RMSE,0.00011479248576841876
RD_MAE,3.022937950834468e-05
RD_RMSE,0.00010452999794514257
V1_angular_error,6.6069074786636595
V1_angular_error_median,2.649539575873113
Signal_MSE,0.0001196550510940142
Signal_MAE,0.008474268019199371
PSNR,27.66509834713171
