metric,value
note,"WLS-DTI is used as a reference, not as training supervision."
subject_id,131217
model,SpatialDTIParamFieldWithQ
hash_backend,torch
device,cuda
batch_size_used,4096
epochs_run,104
final_train_MSE,0.00016920112514537367
best_val_MSE,0.000175198043028726
comparison_slice_z,55
FA_MAE,0.020048365757961636
FA_RMSE,0.07746990124057979
MD_MAE,2.1525941535292018e-05
MD_RMSE,7.467848386939265e-05
AD_MAE,2.8432047830558285e-05
AD_RMSE,8.622002235156373e-05
RD_MAE,2.1393927578526846e-05
RD_RMSE,7.326064331381118e-05
V1_angular_error,6.036194257369707
V1_angular_error_median,2.4866925897438645
Signal_MSE,0.00016884459182620049
Signal_MAE,0.0100684380158782
PSNR,26.567926658019744
