subject_id,FA_MAE,FA_RMSE,MD_MAE,MD_RMSE,AD_MAE,AD_RMSE,RD_MAE,RD_RMSE,V1_angular_error,Signal_MSE,Signal_MAE,PSNR
109830,0.02189509659536345,0.07775255368459866,2.6347408992980793e-05,8.637097632776993e-05,3.266810611734166e-05,9.593195533045317e-05,2.5627842583524443e-05,8.510529868601503e-05,6.09417533203392,0.00026266087661497295,0.012611598707735538,26.266834160567647
124422,0.023476033401968115,0.07803422067612915,3.072421542413904e-05,0.00010573740698145369,3.759295416796846e-05,0.00011479248576841876,3.022937950834468e-05,0.00010452999794514257,6.6069074786636595,0.0001196550510940142,0.008474268019199371,27.66509834713171
124624,0.01662006946035122,0.063545568005989,1.3885861228967987e-05,6.2918058635783e-05,2.078430397999268e-05,7.344386803565115e-05,1.415597232060315e-05,6.185517812306339e-05,5.379175665292749,0.0001333057734882459,0.008980915881693363,27.62185455761641
130316,0.021037487912935828,0.0751385119013915,1.9290422391823937e-05,0.00010169900553339178,2.8174788474896815e-05,0.00011737064433776265,1.8356843660594363e-05,9.74866480519161e-05,6.105104448775591,0.0001980075176106766,0.010827253572642803,26.911931645408664
130720,0.01697022866096719,0.06704022624786402,1.9582348553289868e-05,6.334760675284346e-05,2.579922661482287e-05,7.262689657834232e-05,1.891418548007166e-05,6.213921957832473e-05,5.442182245353142,0.00012317209620960057,0.008621259592473507,27.12806430774995
131217,0.020048365757961636,0.07746990124057979,2.1525941535292018e-05,7.467848386939265e-05,2.8432047830558285e-05,8.622002235156373e-05,2.1393927578526846e-05,7.326064331381118e-05,6.036194257369707,0.00016884459182620049,0.0100684380158782,26.567926658019744
MEAN,0.020007880298257907,0.07316349695942534,2.1892699687748942e-05,8.24585896834391e-05,2.890857119759679e-05,9.33976454003653e-05,2.144635852194419e-05,8.072949761637883e-05,5.943956571248127,0.00016760765114061846,0.009930622298270464,27.02695161274902
