subject_id,FA_MAE,FA_RMSE,MD_MAE,MD_RMSE,AD_MAE,AD_RMSE,RD_MAE,RD_RMSE,V1_angular_error,Signal_MSE,Signal_MAE,PSNR
109830,0.016125674413652848,0.06304922283126627,1.5912823374593894e-05,7.637408771388808e-05,2.1860288191692536e-05,8.340690255119376e-05,1.5184198031558214e-05,7.509078327301386e-05,4.8259775362163735,0.0002604275941848755,0.012542184442281723,26.30391806446646
124422,0.01931133363726908,0.07251745803915535,2.19521608987067e-05,9.54916892267852e-05,2.8635889355459116e-05,0.00010274757690994179,2.091489079384729e-05,9.465390388265576e-05,5.588008797830342,0.0001188088208436966,0.008439337834715843,27.695921856610532
124624,0.01672164505735606,0.06360400686235802,1.648812201538104e-05,6.569534848870571e-05,2.40594265352027e-05,7.797475598547956e-05,1.572766311636647e-05,6.346178890961329e-05,5.529324719628059,0.00013254070654511452,0.008959582075476646,27.646851335375246
130316,0.018375845823035933,0.06687829564014575,1.4629388043876274e-05,9.722837443555575e-05,2.265593873773756e-05,0.00010755241561614685,1.4788818177933735e-05,9.461279114661256e-05,5.859788936288569,0.00019721653370652348,0.010806803591549397,26.929315223273015
MEAN,0.01763362473282848,0.06651224584323134,1.7245623583139476e-05,8.369737496623368e-05,2.4302885705022977e-05,9.29204127656905e-05,1.6653892529926426e-05,8.195481680297387e-05,5.450774997490836,0.00017724841382005252,0.010186976986005902,27.144001619931316
