metric,value
note,"WLS-DTI is used as a reference, not as training supervision."
subject_id,124624
model,SpatialDTIParamFieldWithQ
hash_backend,torch
device,cuda
batch_size_used,512
epochs_run,40
final_train_MSE,0.00013213896985606011
best_val_MSE,0.00013327125146339136
comparison_slice_z,57
FA_MAE,0.01672164505735606
FA_RMSE,0.06360400686235802
MD_MAE,1.648812201538104e-05
MD_RMSE,6.569534848870571e-05
AD_MAE,2.40594265352027e-05
AD_RMSE,7.797475598547956e-05
RD_MAE,1.572766311636647e-05
RD_RMSE,6.346178890961329e-05
V1_angular_error,5.529324719628059
V1_angular_error_median,2.523639055819476
Signal_MSE,0.00013254070654511452
Signal_MAE,0.008959582075476646
PSNR,27.646851335375246
