subject_id,n_directions,seed,method,FA_MAE,MD_MAE,AD_MAE,RD_MAE,V1_error,Signal_NRMSE,FA_RMSE,MD_RMSE,AD_RMSE,RD_RMSE
109830,6,1,Sparse_WLS,0.158383877577388,5.677366184589098e-05,0.00019571720613313555,9.020115902900646e-05,33.23816240110245,0.007572746926010709,0.2138983893166104,0.0001019007036247496,0.00032979905281157,0.00013256516605437776
109830,6,1,DTI_INR,0.08798059558810298,6.558010221729061e-05,0.00012445989081489355,7.622128359119754e-05,38.226650169645524,0.08576638849667309,0.12935380837449384,0.00010914067389050187,0.0001790894612985919,0.00011685536221675796
109830,6,2,Sparse_WLS,0.18033723589760517,7.020593490264714e-05,0.00023146068194098332,0.00010296737825635008,35.699520798078694,0.009463561148717662,0.23779721313080435,0.0001236125795758368,0.00040564007179999306,0.00014903139623810398
109830,6,2,DTI_INR,0.08271212021756566,6.632329962772906e-05,0.00011676956898168556,7.847561364463521e-05,37.35640072901116,0.0830273679154261,0.12314487155480006,0.00011041113868831503,0.00017076324394398127,0.00011953969302265743
109830,6,3,Sparse_WLS,0.14697866257755304,5.748214835817262e-05,0.00018471395051404126,8.608777399351612e-05,33.742977188039674,0.006495744398020746,0.19962884763507704,0.0001026373984022414,0.0003148424923597416,0.0001267477393729736
109830,6,3,DTI_INR,0.08667858260380812,6.925743910329945e-05,0.00012073116178052808,8.084452160233652e-05,36.78839089844332,0.08371854208217107,0.12752722866520988,0.00011566225771318875,0.000176595543398121,0.0001244275138750361
109830,6,4,Sparse_WLS,0.14666819541052062,5.986393379882744e-05,0.00018267095773695586,8.734576472287182e-05,32.66872917589109,0.005898175726152302,0.2001444045682266,0.00010320357028955823,0.0003096363579985549,0.00012908325813697306
109830,6,4,DTI_INR,0.0836175723130459,6.787140647613047e-05,0.00012258809761653825,7.625605444786638e-05,37.39535602327352,0.08140267625297926,0.1240615672026036,0.00011336981252262125,0.00017767988938956726,0.0001187279182202407
109830,6,5,Sparse_WLS,0.1497958996316163,5.2737502398173275e-05,0.00018315732326708406,8.738994303600742e-05,33.390494674895336,0.006457047532067821,0.20443328069411942,9.631911037702093e-05,0.0003102198316688378,0.00012811528006715606
109830,6,5,DTI_INR,0.07726059705984656,6.59743281130323e-05,0.00011546318211180806,7.349576109479414e-05,37.49504864587591,0.08061754800106875,0.11710004062349139,0.00011126133476265633,0.0001681882835812364,0.00011583017960308104
