n_directions,method,n_seeds,FA_MAE_mean,FA_MAE_std,FA_MAE_mean_std,MD_MAE_mean,MD_MAE_std,MD_MAE_mean_std,AD_MAE_mean,AD_MAE_std,AD_MAE_mean_std,RD_MAE_mean,RD_MAE_std,RD_MAE_mean_std,V1_error_mean,V1_error_std,V1_error_mean_std,Signal_NRMSE_mean,Signal_NRMSE_std,Signal_NRMSE_mean_std
6,DTI_INR,5,0.08364989355647384,0.0041722748786470415,0.0836499 ± 0.00417227,6.700131510749637e-05,1.5314541970868277e-06,6.70013e-05 ± 1.53145e-06,0.00012000238026109072,3.81254002238993e-06,0.000120002 ± 3.81254e-06,7.705864687616596e-05,2.7559086175561787e-06,7.70586e-05 ± 2.75591e-06,37.45236929324989,0.5134832494195697,37.4524 ± 0.513483,0.08290650454966365,0.0020219897826776107,0.0829065 ± 0.00202199
6,Sparse_WLS,5,0.15643277421893662,0.014177494692148743,0.156433 ± 0.0141775,5.941263626074229e-05,6.556434751994601e-06,5.94126e-05 ± 6.55643e-06,0.00019554402391843998,2.0775424132082415e-05,0.000195544 ± 2.07754e-05,9.079840380755037e-05,6.9672267651143575e-06,9.07984e-05 ± 6.96723e-06,33.74797684760145,1.157694756595415,33.748 ± 1.15769,0.007177455146193848,0.0014144618018148735,0.00717746 ± 0.00141446
15,DTI_INR,5,0.07583866170398583,0.0019049150667401569,0.0758387 ± 0.00190492,6.687817866093187e-05,1.7063338145040334e-06,6.68782e-05 ± 1.70633e-06,0.00010742504577717958,2.3375761038560497e-06,0.000107425 ± 2.33758e-06,7.318658729869516e-05,1.6379849779890656e-06,7.31866e-05 ± 1.63798e-06,32.52777607339796,0.3692585578896508,32.5278 ± 0.369259,0.0991145918090206,0.001147496519128112,0.0991146 ± 0.0011475
15,Sparse_WLS,5,0.0643999976358569,0.001077357516533514,0.0644 ± 0.00107736,3.0093709429234957e-05,1.2274014607850684e-06,3.00937e-05 ± 1.2274e-06,8.075830361310443e-05,1.3483683957304826e-06,8.07583e-05 ± 1.34837e-06,3.948487531640787e-05,1.5528436584911922e-06,3.94849e-05 ± 1.55284e-06,22.474265845822345,0.3466514897687252,22.4743 ± 0.346651,1.4322991495534586e+19,1.7344321488665133e+19,1.4323e+19 ± 1.73443e+19
30,DTI_INR,5,0.07167686681390317,0.001809244964989443,0.0716769 ± 0.00180924,6.834547243261024e-05,1.2657889250741382e-06,6.83455e-05 ± 1.26579e-06,0.00010258414344839898,2.5531078557280743e-06,0.000102584 ± 2.55311e-06,7.37062361591762e-05,1.2056546591218759e-06,7.37062e-05 ± 1.20565e-06,30.25526351047143,0.5057525407919652,30.2553 ± 0.505753,0.10590608987115399,0.0006056347854529268,0.105906 ± 0.000605635
30,Sparse_WLS,5,0.04037582165868518,0.00040471833237827213,0.0403758 ± 0.000404718,2.0948812407139266e-05,1.5485071152037753e-06,2.09488e-05 ± 1.54851e-06,5.163755352342185e-05,1.0137131462717927e-06,5.16376e-05 ± 1.01371e-06,2.5650277412433537e-05,1.4950335094129387e-06,2.56503e-05 ± 1.49503e-06,16.53330825992507,0.16748121536663702,16.5333 ± 0.167481,5.8549473311333564e+19,1.116811992049854e+20,5.85495e+19 ± 1.11681e+20
45,DTI_INR,5,0.06921577939236934,0.003817429755925258,0.0692158 ± 0.00381743,7.232288895488864e-05,1.0400886191646074e-06,7.23229e-05 ± 1.04009e-06,0.00010160438592690043,3.4211477219564683e-06,0.000101604 ± 3.42115e-06,7.753894120333496e-05,1.788944219629908e-06,7.75389e-05 ± 1.78894e-06,28.48058188442925,0.9381320993962808,28.4806 ± 0.938132,0.108137705773486,0.0009904937556009846,0.108138 ± 0.000990494
45,Sparse_WLS,5,0.02857404452389357,0.00020659653908114024,0.028574 ± 0.000206597,1.610537652484563e-05,5.779423785576994e-07,1.61054e-05 ± 5.77942e-07,3.6952928109579514e-05,2.763188378111945e-07,3.69529e-05 ± 2.76319e-07,1.890231693931363e-05,7.371857740515789e-07,1.89023e-05 ± 7.37186e-07,12.539360187071233,0.12703738409425044,12.5394 ± 0.127037,8661392797123.531,19114115715436.152,8.66139e+12 ± 1.91141e+13
