metric,value
note,"WLS-DTI is used as a reference, not as training supervision."
subject_id,131217
model,SpatialDTIParamField
hash_backend,torch
device,cuda
batch_size_used,4096
epochs_run,40
final_train_MSE,0.0002019062578847845
best_val_MSE,0.0004239722053937026
comparison_slice_z,55
FA_MAE,0.06978818212050998
FA_RMSE,0.10822621548275921
MD_MAE,8.814724436125612e-05
MD_RMSE,0.00014212332009621916
AD_MAE,0.00011446888742733628
AD_RMSE,0.00017243989116124444
RD_MAE,9.273212544129955e-05
RD_RMSE,0.00014453742987302455
V1_angular_error,29.412647526757514
V1_angular_error_median,21.285155483767593
Signal_MSE,0.00025523107615299523
Signal_MAE,0.012258201837539673
PSNR,24.773462687016348
